"","Bias.Coef..mean.","Bias.Coef..sd.","Width..mean.","Width..sd.","MSE..mean.","MSE..sd.","Coverage","it..mean.","it..sd.","miss","actual_missing..mean.","actual_missing..sd.","dist","mp","m","k","tail","hmi","pmass","std","method"
"443",-0.526168853084519,2.54279212571055,0.119453330053955,0.00330777474962932,2.36600266133236,0.0772964376527246,0.984,25,0,0.2,0.238412666666667,0.00718431436456458,"pois","MAR",25,1,"left","False",0.25,0.0304733482339949,"pmm"
"444",-0.673103046039269,2.69946195894502,0.119685624313512,0.00303148455295779,2.3726776955197,0.0775856791544907,0.956,40,0,0.2,0.238852,0.00739713806519491,"pois","MAR",40,1,"left","False",0.25,0.0305326080625912,"pmm"
"445",-0.634818311077535,2.68533523526916,0.120713321866563,0.00735962037570634,2.3683999547397,0.0721392588757053,0.972,5,0,0.2,0.238771333333333,0.00702714897142978,"pois","MAR",5,3,"left","False",0.25,0.0307947806231987,"pmm"
"446",-0.602647094553764,2.47446985566891,0.119977540560918,0.00503942048074368,2.37193066669216,0.0780580116801854,0.976,10,0,0.2,0.238776666666667,0.00756107796547556,"pois","MAR",10,3,"left","False",0.25,0.0306070778614518,"pmm"
"447",-0.531595650486884,2.71158336717575,0.11937989312855,0.00324097834928995,2.36553402100609,0.0763766206080855,0.97,25,0,0.2,0.23841,0.00756786407559403,"pois","MAR",25,3,"left","False",0.25,0.0304546139802067,"pmm"
"448",-0.569374268142485,2.62729487915469,0.119490062179606,0.00256372822044293,2.37318560395456,0.0742240820778863,0.972,40,0,0.2,0.238927333333333,0.00748348163178967,"pois","MAR",40,3,"left","False",0.25,0.0304827188463996,"pmm"
"449",-0.505010893921647,2.5768749287736,0.120361083523555,0.00722899605024005,2.37261255153887,0.0748019765274579,0.978,5,0,0.2,0.239052,0.00718974318811953,"pois","MAR",5,5,"left","False",0.25,0.0307049222518747,"pmm"
"450",-0.490410882691685,2.5841435982976,0.119956913767282,0.00491557155699212,2.3717317023025,0.0750372186194097,0.966,10,0,0.2,0.239198666666667,0.00683777728667893,"pois","MAR",10,5,"left","False",0.25,0.0306018158276089,"pmm"
"451",-0.677925098268134,2.51648231481041,0.119444479828023,0.00322102580718163,2.36497972570033,0.0735236882063825,0.98,25,0,0.2,0.238419333333333,0.00739227401488278,"pois","MAR",25,5,"left","False",0.25,0.0304710904818113,"pmm"
"452",-0.854321012886824,2.65026980230818,0.119407083386367,0.00287836922317728,2.36577688101429,0.0791487139880301,0.966,40,0,0.2,0.239261333333333,0.00706843801698791,"pois","MAR",40,5,"left","False",0.25,0.0304615503979244,"pmm"
